listing_id,city,neighbourhood,latitude,longitude,price,room_type,property_type,minimum_nights,number_of_reviews,review_scores_rating,host_id,high_demand
10033,London,Beachside,49.84561954149671,100.65758747883862,746,Entire home/apt,Loft,25,532,91,host_139,1
10034,San Francisco,Chinatown,45.90211118998157,83.09374364878252,841,Entire home/apt,House,24,660,73,host_1316,0
10035,Tokyo,Beachside,49.66501107934232,144.0342095620294,844,Private room,Bed & Breakfast,15,944,91,host_1120,1
10036,Berlin,Suburb,41.11703264052017,-99.1036155202144,364,Hotel room,Townhouse,28,248,77,host_1670,1
10037,London,Chinatown,34.61173256724415,-101.92498870195878,365,Private room,House,7,118,71,host_107,1
10038,New York,Uptown,44.37051934039185,125.52419209099736,452,Private room,Bed & Breakfast,10,48,76,host_1046,0
10039,New York,Beachside,40.1054830490567,138.8263615815639,347,Entire home/apt,Bed & Breakfast,9,678,62,host_783,1
10040,Paris,Historic District,42.06739076660236,-12.175554867838756,283,Hotel room,Condominium,5,292,77,host_1570,0
10041,Paris,Uptown,46.25998385060948,1.3642031600922024,199,Entire home/apt,House,17,182,87,host_1131,0
10042,Sydney,Uptown,46.61196400727569,-22.60797136680486,845,Entire home/apt,Apartment,21,695,64,host_696,0
10043,San Francisco,Old Town,34.49601546758468,89.86389064699239,649,Entire home/apt,Townhouse,22,771,81,host_1380,1
10044,Toronto,Chinatown,47.84744811111304,87.96632016363003,631,Entire home/apt,Apartment,2,645,64,host_1768,0
10045,London,Chinatown,42.88334046920942,-63.38459308534028,215,Shared room,Loft,14,463,72,host_759,0
10046,London,Suburb,44.0205779198419,-18.429114287596633,905,Entire home/apt,Condominium,21,346,85,host_546,1
10047,Toronto,Historic District,39.36389533341735,-65.57991381490507,660,Entire home/apt,Apartment,23,611,72,host_836,1
10048,Sydney,Downtown,41.575008148010454,-111.17836012306276,923,Entire home/apt,Townhouse,4,322,95,host_1024,0
10049,Tokyo,Uptown,46.78675241162797,-108.56659738241957,55,Entire home/apt,Loft,2,21,96,host_1698,1
10050,Tokyo,Uptown,47.98084845299665,-83.62364081187985,164,Shared room,Apartment,5,54,82,host_1076,1
10051,Sydney,Beachside,40.9679112610236,-115.78244032619517,222,Entire home/apt,Apartment,2,581,56,host_709,0
10052,Tokyo,Suburb,46.440115587723945,-7.626818274016273,358,Entire home/apt,House,11,794,71,host_1245,1
10053,Paris,Chinatown,38.644783030391885,-106.39463464807653,741,Shared room,Bed & Breakfast,28,411,53,host_1289,0
10054,London,Old Town,48.97640797319527,109.03813269686938,921,Entire home/apt,Bed & Breakfast,16,856,90,host_703,0
10055,Sydney,Chinatown,44.97665630033258,71.82254378412435,244,Private room,Condominium,27,879,93,host_1736,0
10056,London,Old Town,47.95335728920411,91.50178187540433,340,Shared room,Apartment,23,92,79,host_903,0
10057,Toronto,Old Town,42.58878734172125,45.80703250210394,654,Entire home/apt,Apartment,29,999,56,host_382,0
10058,New York,Chinatown,38.123967129675194,58.56626625626785,860,Shared room,Townhouse,12,827,99,host_1742,0
10059,Paris,Beachside,41.72616003964559,-92.81224071098413,364,Private room,House,26,890,87,host_212,0
10060,Berlin,Uptown,40.866737100609775,-108.0038966533017,559,Entire home/apt,House,8,991,56,host_343,1
10061,Paris,Old Town,39.988897781922866,148.03388085421005,979,Entire home/apt,Bed & Breakfast,15,993,57,host_1552,0
10062,Sydney,Beachside,37.81912745934661,-21.438925547863036,787,Private room,House,22,848,81,host_437,1
10063,Berlin,Suburb,47.665008553836515,-109.90074470937063,218,Private room,Bed & Breakfast,9,188,61,host_645,0
10064,New York,Suburb,35.55432990377009,-80.09735218235727,85,Private room,Bed & Breakfast,1,688,58,host_883,0
10065,Sydney,Old Town,49.976096737945014,116.4066491520388,916,Entire home/apt,Condominium,4,854,58,host_1647,0
10066,San Francisco,Uptown,37.150445012159565,-67.40536392753845,393,Entire home/apt,Bed & Breakfast,5,202,58,host_752,0
10067,London,Old Town,51.63772573332774,4.436569599654064,112,Entire home/apt,House,28,398,70,host_846,0
10068,New York,Suburb,51.79242486556734,59.555401149485476,270,Hotel room,Apartment,6,525,70,host_1581,1
10069,London,Financial District,41.17096674234073,141.61363686162895,132,Entire home/apt,Bed & Breakfast,27,704,94,host_1237,0
10070,Tokyo,Suburb,51.78077930738073,-120.12456282385327,526,Private room,Bed & Breakfast,17,750,76,host_1656,1
10071,San Francisco,Chinatown,49.64323331105307,10.085223249476911,311,Entire home/apt,Loft,8,684,85,host_1053,0
10072,San Francisco,Financial District,35.48374498503998,149.908756092614,278,Private room,Condominium,29,906,96,host_1313,0
10073,New York,Uptown,51.05191414531512,-90.52644364037302,898,Shared room,Townhouse,2,310,81,host_160,0
10074,San Francisco,Chinatown,34.7652589462827,-89.97783317898975,918,Private room,Apartment,26,548,50,host_290,0
10075,Berlin,Financial District,37.27445728730393,-100.06336319555442,961,Entire home/apt,Apartment,13,64,85,host_1885,1
10076,San Francisco,Beachside,44.52271973524014,15.657110252370813,410,Entire home/apt,Loft,1,124,82,host_1102,1
10077,London,Financial District,35.453269211200244,-28.186920696512928,932,Entire home/apt,Bed & Breakfast,17,153,63,host_1021,0
10078,London,Beachside,36.91109962580864,72.96986550442196,486,Hotel room,Loft,18,571,95,host_1577,0
10079,Sydney,Beachside,51.162852168020294,33.106582532809284,828,Entire home/apt,Bed & Breakfast,13,465,100,host_427,0
10080,London,Financial District,51.90438192797694,35.73099892515086,179,Entire home/apt,House,16,359,98,host_9,1
10081,Sydney,Financial District,48.36645775204535,16.54124479772281,92,Hotel room,Apartment,3,822,92,host_121,0
10082,London,Downtown,43.27376904636465,148.8178487042024,72,Shared room,Bed & Breakfast,18,471,61,host_1598,0
10083,Berlin,Financial District,50.205416842450155,24.238485741736866,617,Private room,House,5,284,94,host_1852,0
10084,Toronto,Beachside,36.01417787590424,-104.10016757390653,511,Entire home/apt,Townhouse,25,537,71,host_962,0
10085,Sydney,Old Town,50.97205364641016,-35.39647451958656,837,Entire home/apt,Townhouse,2,706,84,host_251,1
10086,Paris,Chinatown,40.327952694197776,90.68628246539919,415,Private room,Bed & Breakfast,12,13,68,host_466,0
10087,Tokyo,Beachside,49.5068090421975,48.82517903333172,594,Private room,House,28,863,88,host_1605,0
10088,New York,Uptown,46.03072130773704,64.0856296127431,137,Entire home/apt,Loft,26,636,76,host_1315,1
10089,London,Historic District,51.284937473003,129.49671309648406,573,Private room,House,22,652,80,host_97,0
10090,San Francisco,Financial District,49.56420306032473,-1.9604208564319094,274,Entire home/apt,Townhouse,13,734,98,host_1088,0
10091,Toronto,Beachside,49.98216064391631,-118.6314361359647,926,Entire home/apt,Condominium,9,190,50,host_1914,0
10092,London,Old Town,45.37157841016055,148.2747509653525,758,Entire home/apt,Townhouse,4,4,65,host_162,0
10093,San Francisco,Historic District,48.99685355757296,1.008885311114497,993,Entire home/apt,Bed & Breakfast,21,780,57,host_161,0
10094,Tokyo,Financial District,47.6283607137041,-97.15680312387433,284,Entire home/apt,Apartment,26,494,94,host_1239,0
10095,Tokyo,Old Town,36.90921635626997,26.86062850622494,323,Entire home/apt,Condominium,26,444,95,host_1341,0
10096,Tokyo,Historic District,45.67474404435838,38.305873304024345,842,Entire home/apt,House,8,294,81,host_779,1
10097,San Francisco,Historic District,36.66715983736285,31.191689623570568,161,Entire home/apt,Apartment,22,190,51,host_604,0
10098,London,Old Town,49.650210193939536,141.35243103189174,870,Private room,Apartment,16,445,79,host_357,0
10099,Tokyo,Old Town,35.187096388119436,-36.10025599988644,623,Private room,House,5,832,92,host_559,1
10100,Berlin,Old Town,51.76684006347895,-114.50889018650648,70,Entire home/apt,Condominium,1,578,59,host_440,0
10101,Sydney,Uptown,41.21127999047881,128.9318654227394,589,Entire home/apt,Apartment,8,794,100,host_444,1
10102,San Francisco,Downtown,37.07132836662584,-71.40939352916502,424,Entire home/apt,Loft,18,22,50,host_745,0
10103,San Francisco,Suburb,50.84214970590202,82.09857958898263,474,Entire home/apt,House,6,887,74,host_240,1
10104,London,Downtown,34.81766775213726,-67.89733712034955,99,Shared room,Apartment,10,191,61,host_1621,1
10105,San Francisco,Suburb,42.4619014211617,103.96824834135765,282,Entire home/apt,Condominium,25,374,80,host_1283,0
10106,San Francisco,Chinatown,47.86408830264105,125.25519855249641,749,Shared room,Townhouse,6,844,74,host_1824,0
10107,Tokyo,Financial District,39.701508557770616,-95.02690625050236,677,Entire home/apt,Apartment,21,397,64,host_1580,1
10108,London,Old Town,43.51902405825042,-83.49949996934703,688,Entire home/apt,Apartment,22,105,57,host_1837,1
10109,Tokyo,Chinatown,46.60743429364844,130.45440745389897,674,Entire home/apt,Townhouse,10,636,52,host_1463,1
10110,Sydney,Chinatown,51.135575578023776,87.94371114078439,920,Private room,Loft,5,986,79,host_1966,0
10111,Toronto,Financial District,35.84864750687854,-113.30336013068846,261,Private room,Apartment,21,369,56,host_646,1
10112,Sydney,Suburb,36.830080666868554,-73.89513937796889,247,Entire home/apt,Apartment,10,288,100,host_1645,0
10113,Toronto,Uptown,43.159676113493205,-10.679040515642484,758,Private room,Bed & Breakfast,23,882,74,host_1475,1
10114,Tokyo,Old Town,41.53254930070084,113.65454774714732,310,Private room,House,5,74,81,host_1296,0
10115,Sydney,Historic District,41.394330892305994,-82.45916881582554,678,Entire home/apt,Loft,22,522,84,host_1292,1
10116,London,Beachside,39.34530705285076,75.1385397001714,128,Entire home/apt,Townhouse,24,503,91,host_1826,0
10117,New York,Financial District,44.092326373161214,-100.9785574954331,734,Private room,House,21,861,64,host_1419,0
10118,Tokyo,Historic District,49.899190050982895,4.471467152209101,972,Shared room,Bed & Breakfast,7,32,67,host_408,1
10119,Toronto,Financial District,36.89663812968155,76.47336709626833,607,Entire home/apt,Loft,1,723,67,host_559,1
10120,Berlin,Historic District,37.87515393092364,-106.20380719693233,73,Private room,Condominium,9,336,50,host_491,0
10121,Toronto,Chinatown,46.074822960392545,-67.83435269738115,967,Entire home/apt,Condominium,25,465,83,host_875,1
10122,Berlin,Downtown,35.011557777171475,93.74749666113689,310,Entire home/apt,House,6,15,91,host_1531,1
10123,San Francisco,Historic District,46.127755592134115,-79.0323974312936,794,Entire home/apt,Condominium,6,429,84,host_1446,1
10124,Sydney,Old Town,39.660210715540074,59.572324466123916,129,Private room,House,16,220,63,host_956,0
10125,Berlin,Historic District,40.44137076520027,52.60133896289423,257,Entire home/apt,Bed & Breakfast,19,43,83,host_1718,1
10126,Toronto,Uptown,41.299888728812206,19.10827977128966,169,Entire home/apt,Townhouse,12,902,62,host_778,1
10127,San Francisco,Old Town,40.292576106850866,-68.52960145655481,314,Entire home/apt,House,16,557,73,host_1863,0
10128,New York,Beachside,49.14177318303158,-9.341453954101198,425,Entire home/apt,Townhouse,9,319,62,host_342,1
10129,London,Beachside,51.02923223320556,46.98623138066898,920,Entire home/apt,Apartment,7,585,93,host_1867,1
10130,London,Chinatown,43.864206555691396,118.47417527435212,669,Private room,House,16,876,81,host_726,0
10131,London,Historic District,44.47381297902891,95.41016513621832,490,Entire home/apt,Townhouse,14,123,78,host_388,1
10132,Berlin,Downtown,35.268695944241834,43.019780035016,274,Entire home/apt,Townhouse,20,574,90,host_464,0
10133,New York,Chinatown,46.83745471049801,-61.17048715400194,740,Shared room,Apartment,12,312,53,host_505,1
10134,Berlin,Uptown,44.513779713353514,-64.4076751185822,708,Entire home/apt,Condominium,17,598,67,host_545,0
10135,Sydney,Suburb,34.907101428536805,99.81899732821296,755,Private room,Condominium,5,565,60,host_309,0
10136,Berlin,Beachside,37.57166200729066,58.71607787892134,84,Private room,Condominium,11,598,55,host_835,1
10137,New York,Downtown,37.63498156706613,-25.53335694499367,742,Entire home/apt,Condominium,5,365,94,host_997,0
10138,New York,Beachside,37.077423134980464,143.15734312312338,324,Entire home/apt,Loft,14,829,69,host_768,1
10139,Sydney,Uptown,45.85562718320999,120.68421380480385,509,Entire home/apt,Apartment,25,604,52,host_1450,0
10140,New York,Uptown,50.71191307640384,60.665717103715195,747,Entire home/apt,House,20,896,79,host_1519,0
10141,Toronto,Historic District,47.733555856450465,-22.461828666152087,721,Entire home/apt,Townhouse,12,696,95,host_581,0
10142,New York,Beachside,42.59272273385044,-39.09193925459354,186,Private room,Apartment,3,874,67,host_771,0
10143,London,Chinatown,41.27292336372067,134.3305480835558,711,Entire home/apt,Loft,6,101,76,host_599,1
10144,Toronto,Beachside,40.956245895566006,-2.046807233178498,169,Entire home/apt,Townhouse,7,413,53,host_1865,0
10145,Toronto,Historic District,44.82244523852485,96.00471760633701,572,Entire home/apt,Condominium,21,25,97,host_783,0
10146,Sydney,Chinatown,40.465971861001655,134.42357179604267,963,Shared room,Apartment,26,697,79,host_96,0
10147,Paris,Beachside,38.07019548139691,11.30184153046747,960,Entire home/apt,Townhouse,7,272,58,host_790,1
10148,Paris,Chinatown,44.8511723183605,55.60481150580188,783,Entire home/apt,Townhouse,23,745,79,host_934,0
10149,New York,Historic District,41.032697441696314,-100.27978308484501,986,Private room,Bed & Breakfast,1,58,98,host_1128,0
10150,Toronto,Suburb,34.25424692458901,55.459888921777775,659,Entire home/apt,Townhouse,12,947,75,host_1778,0
10151,Paris,Old Town,34.40016004420194,-64.85202939849634,145,Private room,House,6,288,51,host_952,0
10152,Paris,Old Town,38.934459000779526,60.394446350928604,724,Entire home/apt,Townhouse,6,405,94,host_828,0
10153,New York,Chinatown,43.223599591123545,-96.2124748029378,812,Hotel room,Condominium,12,201,84,host_913,1
10154,Paris,Chinatown,40.376311138023794,12.182252805572887,173,Entire home/apt,Apartment,7,633,82,host_628,0
10155,Berlin,Financial District,34.432992742975934,19.279647077358362,432,Shared room,Bed & Breakfast,21,932,51,host_753,1
10156,San Francisco,Financial District,38.016731747558325,8.96783260020851,727,Entire home/apt,Townhouse,29,735,64,host_122,1
10157,Sydney,Suburb,35.73554755614309,84.09914195676802,621,Entire home/apt,House,7,675,66,host_1007,0
10158,San Francisco,Historic District,51.0753760245055,83.49316526295607,250,Entire home/apt,Condominium,14,169,82,host_940,0
10159,New York,Old Town,39.63101336131348,70.2539087524122,186,Hotel room,House,25,671,88,host_1481,1
10160,London,Suburb,34.26579468871893,49.69839012650408,762,Entire home/apt,Townhouse,22,234,60,host_1888,1
10161,Sydney,Financial District,45.89013853574194,124.70784048427961,955,Entire home/apt,Loft,16,280,91,host_331,0
10162,New York,Financial District,38.18406292914071,34.30068244922822,853,Entire home/apt,House,23,689,50,host_1643,0
10163,Toronto,Uptown,44.20125259055807,-28.21157497462592,722,Private room,House,23,873,91,host_1923,0
10164,London,Beachside,36.713418182970784,-107.72307614893688,950,Entire home/apt,House,23,537,96,host_1307,1
10165,San Francisco,Financial District,51.71223823220436,23.349111034209983,357,Entire home/apt,Loft,1,28,70,host_1718,0
10166,New York,Old Town,51.46466535817599,-61.370901129349875,427,Entire home/apt,Bed & Breakfast,24,329,66,host_1380,0
10167,Toronto,Chinatown,45.807700330425504,-17.585301764427868,559,Entire home/apt,Condominium,26,562,61,host_445,1
10168,Sydney,Historic District,46.729647192797096,-110.2648471015271,293,Private room,House,24,491,71,host_641,1
10169,Sydney,Downtown,41.665820043249724,52.24108699573543,920,Private room,Townhouse,23,122,74,host_193,1
10170,Tokyo,Financial District,51.31922821752704,119.83955084227509,529,Entire home/apt,Loft,5,413,75,host_1148,0
10171,Toronto,Uptown,41.62731316668162,-34.58622859508574,445,Entire home/apt,Bed & Breakfast,3,669,76,host_1404,1
10172,Berlin,Beachside,38.31042395334509,97.34098087842679,852,Entire home/apt,Condominium,3,660,77,host_1727,1
10173,Paris,Downtown,36.076814972870274,-89.26616870225945,388,Entire home/apt,Townhouse,15,917,78,host_1686,0
10174,London,Suburb,37.74625540565894,74.86297293024452,255,Entire home/apt,Apartment,16,887,56,host_1010,0
10175,Toronto,Beachside,44.299843070716996,-102.06593576334663,398,Shared room,Townhouse,4,182,96,host_1683,1
10176,Tokyo,Suburb,38.411650922907384,-52.87647219309437,684,Private room,Bed & Breakfast,16,587,88,host_189,1
10177,Paris,Suburb,45.776489712055806,-24.93365451999506,303,Entire home/apt,Apartment,19,197,94,host_1801,0
10178,Paris,Chinatown,40.87932135793084,-80.88318938949979,425,Private room,Bed & Breakfast,2,692,87,host_609,1
10179,New York,Suburb,49.9637122975104,-73.26323588493061,43,Entire home/apt,Bed & Breakfast,18,705,98,host_1519,1
10180,Paris,Financial District,44.05260521438039,68.20455658612354,343,Private room,Loft,27,577,63,host_1431,0
10181,Berlin,Downtown,45.20687295582297,-97.6638536210896,132,Shared room,Loft,19,219,72,host_1847,1
10182,Sydney,Uptown,44.01807645386819,132.82455463288386,112,Private room,Loft,9,751,96,host_573,0
10183,Tokyo,Historic District,49.94023793543843,87.29976698862663,432,Entire home/apt,Apartment,20,807,73,host_702,1
10184,Paris,Financial District,35.141552222725444,-25.89823824497539,67,Entire home/apt,House,1,178,62,host_901,1
10185,New York,Chinatown,35.212276727633416,48.909224344673106,605,Entire home/apt,Condominium,10,186,100,host_1158,0
10186,Berlin,Uptown,46.63132440864547,73.83941927260702,588,Entire home/apt,Condominium,28,183,82,host_1800,0
10187,San Francisco,Suburb,47.82335023686721,39.48317161888468,97,Private room,Bed & Breakfast,7,799,56,host_860,0
10188,Sydney,Old Town,41.80460952907542,46.02075652229655,953,Entire home/apt,Condominium,10,601,100,host_1260,1
10189,Sydney,Beachside,40.34149374497674,127.89144642304706,503,Shared room,Condominium,8,587,92,host_302,1
10190,Tokyo,Chinatown,39.00301119169744,118.30085533683152,690,Shared room,Townhouse,3,396,84,host_372,0
10191,Sydney,Suburb,38.219107945003856,127.29636948364481,321,Entire home/apt,Condominium,1,774,99,host_10,0
10192,Paris,Chinatown,50.415254614214895,119.43298836025889,749,Private room,Bed & Breakfast,27,901,72,host_823,0
10193,New York,Old Town,39.3125118345011,64.48321159242977,287,Entire home/apt,Townhouse,28,636,98,host_1746,0
10194,Sydney,Historic District,45.66541832460154,11.232738537462524,558,Entire home/apt,House,15,958,85,host_532,0
10195,Sydney,Downtown,48.167706046905195,10.030485737329883,990,Entire home/apt,Loft,18,725,96,host_261,1
10196,San Francisco,Financial District,34.39539841205646,88.17938171566539,952,Private room,House,11,570,74,host_1718,1
10197,San Francisco,Downtown,34.60973469789736,130.08740821869793,912,Entire home/apt,Bed & Breakfast,6,478,98,host_551,0
10198,London,Beachside,39.996473283472646,-99.78363776648084,455,Private room,Condominium,4,179,73,host_920,1
10199,Berlin,Downtown,46.52828339764666,117.12720510123702,548,Entire home/apt,Townhouse,20,967,79,host_838,0
10200,Paris,Historic District,38.694375434722296,109.66155996217367,494,Private room,Condominium,27,366,97,host_667,0
10201,Sydney,Financial District,34.026699227780504,-99.9127076244633,991,Entire home/apt,Townhouse,4,801,86,host_896,1
10202,Toronto,Financial District,39.186662198990504,56.550463949144216,606,Entire home/apt,Bed & Breakfast,22,3,92,host_1982,1
10203,Sydney,Historic District,35.62235469958323,143.2698175021166,900,Shared room,Loft,15,769,75,host_1213,0
10204,New York,Old Town,37.94943950426182,110.20579998769412,585,Entire home/apt,Townhouse,12,916,73,host_1530,0
10205,London,Uptown,39.997420012587355,-106.71825977489429,687,Hotel room,Bed & Breakfast,7,30,63,host_1170,0
10206,Berlin,Historic District,36.30503239123753,130.42637648114365,700,Shared room,Bed & Breakfast,18,630,72,host_1205,0
10207,Toronto,Old Town,46.71456509405788,-76.40165113097547,236,Entire home/apt,Apartment,20,895,89,host_347,1
10208,London,Old Town,38.60656417611139,-104.06917003349027,157,Private room,Loft,17,680,68,host_350,1
10209,Tokyo,Suburb,45.899706387489324,-61.34422540229335,512,Entire home/apt,Condominium,4,745,62,host_1394,0
10210,Berlin,Historic District,44.78259135078105,8.890655702654641,108,Private room,Bed & Breakfast,6,494,70,host_898,1
10211,Sydney,Downtown,50.164818778487245,100.18693951597533,339,Entire home/apt,Bed & Breakfast,24,554,61,host_840,0
10212,Sydney,Chinatown,35.58279710220405,-50.542233085832976,711,Entire home/apt,Condominium,22,202,81,host_246,1
10213,Berlin,Financial District,37.86294600454597,-16.68066378288556,232,Private room,Condominium,3,82,96,host_1782,0
10214,Sydney,Beachside,49.57321172279157,-85.20348867017591,238,Private room,Condominium,14,797,77,host_874,0
10215,Paris,Uptown,48.798366214942476,-43.82338758906944,863,Private room,House,14,901,90,host_719,0
10216,Berlin,Financial District,37.457900029276914,124.06932911711655,888,Entire home/apt,House,8,641,64,host_1993,0
10217,London,Chinatown,35.93924821503023,63.21821210947073,167,Entire home/apt,House,21,94,60,host_162,1
10218,Berlin,Suburb,49.412346363163486,61.32910485256349,677,Entire home/apt,House,8,794,66,host_522,0
10219,Toronto,Historic District,37.20648502284469,-55.29389470118234,868,Entire home/apt,Loft,16,942,87,host_55,0
10220,Sydney,Suburb,49.67997470927431,-83.7908390163164,34,Private room,Bed & Breakfast,24,884,63,host_1615,1
10221,Paris,Uptown,51.30006458879933,120.04274374034625,486,Entire home/apt,Bed & Breakfast,26,483,74,host_1903,0
10222,Paris,Chinatown,37.97451949436207,135.50281710679565,39,Entire home/apt,Loft,16,855,71,host_1440,0
10223,Tokyo,Uptown,49.12697679857719,-109.26485847809793,631,Entire home/apt,House,11,360,58,host_1697,1
10224,London,Uptown,41.628959619680735,21.79450509636331,310,Entire home/apt,Bed & Breakfast,29,452,80,host_1747,0
10225,San Francisco,Downtown,48.19801164556293,-3.049543458330106,677,Entire home/apt,Townhouse,10,734,88,host_7,0
10226,San Francisco,Historic District,41.33311973761918,79.06095903041296,780,Entire home/apt,House,11,378,73,host_911,0
10227,Berlin,Chinatown,35.267120777206905,-41.006418654084825,84,Private room,Apartment,6,886,84,host_183,1
10228,Tokyo,Downtown,46.82851490704596,46.65882135422987,955,Entire home/apt,Bed & Breakfast,28,972,83,host_1665,1
10229,New York,Financial District,36.71239551826442,-101.28974449313043,660,Entire home/apt,Condominium,4,867,51,host_231,0
10230,Berlin,Downtown,50.68645160770058,102.31235292836976,720,Private room,Townhouse,2,510,95,host_1816,1
10231,Tokyo,Financial District,41.51943309437262,-58.35830711421363,150,Entire home/apt,House,25,185,56,host_35,0
10232,London,Beachside,35.47600266237243,-37.670365937797186,59,Private room,Condominium,25,151,81,host_648,1
10233,London,Downtown,38.1126402659319,-19.983191663509785,39,Entire home/apt,Loft,23,683,64,host_831,1
10234,London,Old Town,49.5253171144185,-67.18065081173569,394,Private room,Bed & Breakfast,2,339,89,host_1278,1
10235,London,Suburb,39.77953845323476,98.44695652838266,655,Entire home/apt,Bed & Breakfast,24,861,55,host_567,0
10236,London,Suburb,49.41390390963441,-105.11452911504506,585,Entire home/apt,Bed & Breakfast,14,714,94,host_1846,0
10237,Tokyo,Old Town,37.10116129105868,132.72152073131883,168,Private room,Townhouse,27,683,90,host_1006,0
10238,Tokyo,Financial District,42.4279262243913,131.91297529388964,587,Entire home/apt,Condominium,13,292,57,host_1077,0
10239,Paris,Financial District,49.808670852159096,103.52463646104391,74,Entire home/apt,Bed & Breakfast,26,280,65,host_1077,1
10240,Toronto,Historic District,34.87128698181862,137.84008482473558,534,Entire home/apt,Townhouse,26,839,76,host_1811,0
10241,San Francisco,Uptown,39.47698929003317,85.3140614636618,324,Entire home/apt,House,6,102,76,host_1077,0
10242,Sydney,Chinatown,50.37732860989814,30.710079055659918,208,Entire home/apt,Bed & Breakfast,21,186,98,host_310,1
10243,London,Chinatown,44.737473898744774,74.44594270181798,479,Entire home/apt,Bed & Breakfast,16,337,57,host_196,1
10244,New York,Chinatown,46.892178358398425,-122.91370668710883,732,Entire home/apt,Bed & Breakfast,19,80,98,host_1460,0
10245,Sydney,Downtown,49.158311894663335,64.49159485393031,692,Entire home/apt,Townhouse,12,20,52,host_1014,1
10246,Tokyo,Chinatown,43.4247356728441,-112.44259974510798,546,Hotel room,Bed & Breakfast,29,9,57,host_677,1
10247,New York,Chinatown,49.2165862183888,120.10383864678124,990,Entire home/apt,Bed & Breakfast,9,905,68,host_1861,1
10248,New York,Financial District,45.49776227203135,122.54464261475036,917,Shared room,Townhouse,10,898,59,host_990,0
10249,New York,Chinatown,46.34170811014304,-92.56199344065472,701,Private room,House,9,281,81,host_306,0
